tag,scalar_value,global_step
Epsilon,0.1,127
Reward,25.0,127
Mean Reward,10.89,127
Loss,0.05190436023154429,128
Epsilon,0.1,128
Reward,28.0,128
Mean Reward,10.909090909090908,128
Loss,0.05353755810681511,129
Epsilon,0.1,129
Reward,17.0,129
Mean Reward,10.97,129
Loss,0.0515883609871654,130
Epsilon,0.1,130
Reward,17.0,130
Mean Reward,10.95959595959596,130
Loss,0.04782995865072893,131
Epsilon,0.1,131
Reward,23.0,131
Mean Reward,11.08,131
Loss,0.05788467043580917,132
Epsilon,0.1,132
Reward,26.0,132
Mean Reward,11.11111111111111,132
Loss,0.052144674170348376,133
Epsilon,0.1,133
Reward,18.0,133
Mean Reward,11.18,133
Loss,0.054431541091097255,134
Epsilon,0.1,134
Reward,28.0,134
Mean Reward,11.191919191919192,134
Loss,0.0489083278705092,135
Epsilon,0.1,135
Reward,34.0,135
Mean Reward,11.42,135
Loss,0.048314085487147856,136
Epsilon,0.1,136
Reward,29.0,136
Mean Reward,11.434343434343434,136
Loss,0.05083713466408609,137
Epsilon,0.1,137
Reward,87.0,137
Mean Reward,12.19,137
Loss,0.05416900197883229,138
Epsilon,0.1,138
Reward,91.0,138
Mean Reward,12.202020202020202,138
Loss,0.05317599160803689,139
Epsilon,0.1,139
Reward,27.0,139
Mean Reward,12.35,139
Loss,0.07162501533394275,140
Epsilon,0.1,140
Reward,23.0,140
Mean Reward,12.373737373737374,140
Loss,0.06693014251068234,141
Epsilon,0.1,141
Reward,20.0,141
Mean Reward,12.45,141
Loss,0.06291932853705742,142
Epsilon,0.1,142
Reward,34.0,142
Mean Reward,12.484848484848484,142
Loss,0.07674099138063012,143
Epsilon,0.1,143
Reward,33.0,143
Mean Reward,12.69,143
Loss,0.06655398364467867,144
Epsilon,0.1,144
Reward,29.0,144
Mean Reward,12.717171717171718,144
Loss,0.06897918001881667,145
Epsilon,0.1,145
Reward,21.0,145
Mean Reward,12.8,145
Loss,0.07453563991426067,146
Epsilon,0.1,146
Reward,22.0,146
Mean Reward,12.828282828282829,146
Loss,0.09529831271399469,147
Epsilon,0.1,147
Reward,17.0,147
Mean Reward,12.87,147
Loss,0.10434270026878668,148
Epsilon,0.1,148
Reward,26.0,148
Mean Reward,12.8989898989899,148
Loss,0.09728991295046666,149
Epsilon,0.1,149
Reward,17.0,149
Mean Reward,12.94,149
Loss,0.08642753425308249,150
Epsilon,0.1,150
Reward,22.0,150
Mean Reward,12.97979797979798,150
Loss,0.08323071853202932,151
Epsilon,0.1,151
Reward,17.0,151
Mean Reward,13.02,151
Loss,0.10700066911522299,152
Epsilon,0.1,152
Reward,32.0,152
Mean Reward,13.06060606060606,152
Loss,0.10373190498870352,153
Epsilon,0.1,153
Reward,23.0,153
Mean Reward,13.16,153
Loss,0.103585518308376,154
Epsilon,0.1,154
Reward,19.0,154
Mean Reward,13.202020202020202,154
Loss,0.09970857591732689,155
Epsilon,0.1,155
Reward,23.0,155
Mean Reward,13.3,155
Loss,0.1400503743853834,156
Epsilon,0.1,156
Reward,18.0,156
Mean Reward,13.313131313131313,156
Loss,0.10041031623749357,157
Epsilon,0.1,157
Reward,19.0,157
Mean Reward,13.37,157
Loss,0.108656854265266,158
Epsilon,0.1,158
Reward,18.0,158
Mean Reward,13.383838383838384,158
Loss,0.1386109987894694,159
Epsilon,0.1,159
Reward,18.0,159
Mean Reward,13.43,159
Loss,0.1188871089901243,160
Epsilon,0.1,160
Reward,35.0,160
Mean Reward,13.484848484848484,160
Loss,0.14957755664363503,161
Epsilon,0.1,161
Reward,32.0,161
Mean Reward,13.67,161
Loss,0.11159175628175338,162
Epsilon,0.1,162
Reward,30.0,162
Mean Reward,13.717171717171718,162
Loss,0.13053067163987594,163
Epsilon,0.1,163
Reward,33.0,163
Mean Reward,13.91,163
Loss,0.12544514865360476,164
Epsilon,0.1,164
Reward,22.0,164
Mean Reward,13.94949494949495,164
Loss,0.13825200870633125,165
Epsilon,0.1,165
Reward,27.0,165
Mean Reward,14.08,165
Loss,0.11516179286298298,166
Epsilon,0.1,166
Reward,21.0,166
Mean Reward,14.121212121212121,166
Loss,0.1477453044002376,167
Epsilon,0.1,167
Reward,41.0,167
Mean Reward,14.39,167
Loss,0.11014558275251887,168
Epsilon,0.1,168
Reward,43.0,168
Mean Reward,14.444444444444445,168
Loss,0.13096809972609794,169
Epsilon,0.1,169
Reward,42.0,169
Mean Reward,14.72,169
Loss,0.11632028907876123,170
Epsilon,0.1,170
Reward,44.0,170
Mean Reward,14.767676767676768,170
Loss,0.14753520138123455,171
Epsilon,0.1,171
Reward,34.0,171
Mean Reward,14.96,171
Loss,0.13120663901300808,172
Epsilon,0.1,172
Reward,57.0,172
Mean Reward,15.0,172
Loss,0.16138875963432447,173
Epsilon,0.1,173
Reward,28.0,173
Mean Reward,15.13,173
Loss,0.14119883554597054,174
Epsilon,0.1,174
Reward,31.0,174
Mean Reward,15.191919191919192,174
Loss,0.14111432179808617,175
Epsilon,0.1,175
Reward,50.0,175
Mean Reward,15.54,175
Loss,0.12729819620778757,176
Epsilon,0.1,176
Reward,67.0,176
Mean Reward,15.595959595959595,176
Loss,0.12695533123153907,177
Epsilon,0.1,177
Reward,65.0,177
Mean Reward,16.09,177
Loss,0.1342652995908071,178
Epsilon,0.1,178
Reward,63.0,178
Mean Reward,16.161616161616163,178
Loss,0.1298270927509293,179
Epsilon,0.1,179
Reward,64.0,179
Mean Reward,16.64,179
Loss,0.12970270643321177,180
Epsilon,0.1,180
Reward,72.0,180
Mean Reward,16.707070707070706,180
Loss,0.14774200869233986,181
Epsilon,0.1,181
Reward,38.0,181
Mean Reward,16.92,181
Loss,0.14501379989087582,182
Epsilon,0.1,182
Reward,48.0,182
Mean Reward,16.98989898989899,182
Loss,0.1357874705332455,183
Epsilon,0.1,183
Reward,143.0,183
Mean Reward,18.25,183
Loss,0.12673470810239698,184
Epsilon,0.1,184
Reward,81.0,184
Mean Reward,18.333333333333332,184
Loss,0.14035667984915728,185
Epsilon,0.1,185
Reward,88.0,185
Mean Reward,19.03,185
Loss,0.13567260725216734,186
Epsilon,0.1,186
Reward,72.0,186
Mean Reward,19.13131313131313,186
Loss,0.13189870535539902,187
Epsilon,0.1,187
Reward,123.0,187
Mean Reward,20.17,187
Loss,0.12251323266164925,188
Epsilon,0.1,188
Reward,133.0,188
Mean Reward,20.282828282828284,188
Loss,0.12612260623763388,189
Epsilon,0.1,189
Reward,78.0,189
Mean Reward,20.86,189
Loss,0.11730750032196131,190
Epsilon,0.1,190
Reward,96.0,190
Mean Reward,20.97979797979798,190
Loss,0.13385510807789916,191
Epsilon,0.1,191
Reward,139.0,191
Mean Reward,22.16,191
Loss,0.11321321742919584,192
Epsilon,0.1,192
Reward,228.0,192
Mean Reward,22.282828282828284,192
Loss,0.12391165966946113,193
Epsilon,0.1,193
Reward,79.0,193
Mean Reward,22.85,193
Loss,0.1157658472003644,194
Epsilon,0.1,194
Reward,114.0,194
Mean Reward,22.97979797979798,194
Loss,0.11417299326664458,195
Epsilon,0.1,195
Reward,144.0,195
Mean Reward,24.19,195
Loss,0.1207701797488817,196
Epsilon,0.1,196
Reward,215.0,196
Mean Reward,24.32323232323232,196
Loss,0.11418649252624281,197
Epsilon,0.1,197
Reward,155.0,197
Mean Reward,25.63,197
Loss,0.1218347932369291,198
Epsilon,0.1,198
Reward,154.0,198
Mean Reward,25.78787878787879,198
Loss,0.12015571870472071,199
Epsilon,0.1,199
Reward,424.0,199
Mean Reward,29.77,199
Loss,0.11962897721825264,200
Epsilon,0.1,200
Reward,253.0,200
Mean Reward,29.95959595959596,200
Loss,0.12920343004199758,201
Epsilon,0.1,201
Reward,228.0,201
Mean Reward,31.94,201
Loss,0.13085866346166042,202
Epsilon,0.1,202
Reward,236.0,202
Mean Reward,32.17171717171717,202
Loss,0.1368401885779603,203
Epsilon,0.1,203
Reward,197.0,203
Mean Reward,33.82,203
Loss,0.11886276385081666,204
Epsilon,0.1,204
Reward,175.0,204
Mean Reward,34.04040404040404,204
Loss,0.1206128966063261,205
Epsilon,0.1,205
Reward,135.0,205
Mean Reward,35.05,205
Loss,0.12651106191799044,206
Epsilon,0.1,206
Reward,150.0,206
Mean Reward,35.313131313131315,206
Loss,0.12748684476962133,207
Epsilon,0.1,207
Reward,113.0,207
Mean Reward,36.09,207
Loss,0.12066443014802984,208
Epsilon,0.1,208
Reward,257.0,208
Mean Reward,36.35353535353536,208
Loss,0.1141010510753475,209
Epsilon,0.1,209
Reward,255.0,209
Mean Reward,38.54,209
Loss,0.1202238343565711,210
Epsilon,0.1,210
Reward,268.0,210
Mean Reward,38.83838383838384,210
Loss,0.13022326076416857,211
Epsilon,0.1,211
Reward,137.0,211
Mean Reward,39.82,211
Loss,0.112299236497849,212
Epsilon,0.1,212
Reward,129.0,212
Mean Reward,40.14141414141414,212
Loss,0.12114643428894069,213
Epsilon,0.1,213
Reward,151.0,213
Mean Reward,41.25,213
Loss,0.1340754644603329,214
Epsilon,0.1,214
Reward,207.0,214
Mean Reward,41.515151515151516,214
Loss,0.12889685130486375,215
Epsilon,0.1,215
Reward,136.0,215
Mean Reward,42.46,215
Loss,0.11256982947480844,216
Epsilon,0.1,216
Reward,217.0,216
Mean Reward,42.7979797979798,216
Loss,0.12574371199385362,217
Epsilon,0.1,217
Reward,217.0,217
Mean Reward,44.54,217
Loss,0.11918528505160424,218
Epsilon,0.1,218
Reward,167.0,218
Mean Reward,44.888888888888886,218
Loss,0.115522456563898,219
Epsilon,0.1,219
Reward,201.0,219
Mean Reward,46.45,219
Loss,0.11857707843022502,220
Epsilon,0.1,220
Reward,138.0,220
Mean Reward,46.81818181818182,220
Loss,0.11463357121166255,221
Epsilon,0.1,221
Reward,135.0,221
Mean Reward,47.7,221
Loss,0.12429439445229502,222
Epsilon,0.1,222
Reward,197.0,222
Mean Reward,48.06060606060606,222
Loss,0.11248134039342403,223
Epsilon,0.1,223
Reward,320.0,223
Mean Reward,50.78,223
Loss,0.11860845202150253,224
Epsilon,0.1,224
Reward,273.0,224
Mean Reward,51.2020202020202,224
Loss,0.12384333045269962,225
Epsilon,0.1,225
Reward,213.0,225
Mean Reward,52.82,225
Loss,0.13925443247616667,226
Epsilon,0.1,226
Reward,159.0,226
Mean Reward,53.24242424242424,226
Loss,0.14596909999626836,227
Epsilon,0.1,227
Reward,152.0,227
Mean Reward,54.23,227
Loss,0.14316935539962009,228
Epsilon,0.1,228
Reward,182.0,228
Mean Reward,54.666666666666664,228
Loss,0.146030480276359,229
Epsilon,0.1,229
